experiment_id,metric,dedup_rule,delta,pstd,ratio_pstd,same_sign,verdict_pstd
transfer/b2a_regiononly_mask_01/b2a_regiononly_mask_01@val~relation_detr_seed42,accuracy,first,0.04092409240924096,0.0021557665503042444,18.983545506569495,True,significant
transfer/b2a_regiononly_mask_01/b2a_regiononly_mask_01@val~relation_detr_seed42,accuracy,latest,0.04180418041804183,0.005762728648496757,7.2542337090514755,True,significant
transfer/b2a_regiononly_mask_01/b2a_regiononly_mask_01@val~relation_detr_seed42,accuracy,mean,0.04273455917020278,0.0026633329099722738,16.04551913513796,True,significant
transfer/b2a_regiononly_mask_02/b2a_regiononly_mask_02@val~relation_detr_seed42,accuracy,first,0.04818481848184819,0.0035340766565916263,13.634344459386778,True,significant
transfer/b2a_regiononly_mask_02/b2a_regiononly_mask_02@val~relation_detr_seed42,accuracy,latest,0.04906490649064906,0.007033825022286393,6.975565405051856,True,significant
transfer/b2a_regiononly_mask_02/b2a_regiononly_mask_02@val~relation_detr_seed42,accuracy,mean,0.049995285242810016,0.004073753931146172,12.272534396485646,True,significant
transfer/b2a_regiononly_mask_03/b2a_regiononly_mask_03@val~relation_detr_seed42,accuracy,first,0.049724972497249754,0.0024892647962562924,19.975766568519823,True,significant
transfer/b2a_regiononly_mask_03/b2a_regiononly_mask_03@val~relation_detr_seed42,accuracy,latest,0.050605060506050625,0.005661025447863025,8.939203854869346,True,significant
transfer/b2a_regiononly_mask_03/b2a_regiononly_mask_03@val~relation_detr_seed42,accuracy,mean,0.05153543925821158,0.003104562497353046,16.59990394851151,True,significant
transfer/b2a_regiononly_mask_04/b2a_regiononly_mask_04@val~relation_detr_seed42,accuracy,first,0.04664466446644666,0.003823574740810266,12.199229158146922,True,significant
transfer/b2a_regiononly_mask_04/b2a_regiononly_mask_04@val~relation_detr_seed42,accuracy,latest,0.04752475247524753,0.007290667338077403,6.518573715061333,True,significant
transfer/b2a_regiononly_mask_04/b2a_regiononly_mask_04@val~relation_detr_seed42,accuracy,mean,0.048455131227408486,0.004371183134120533,11.085129526872933,True,significant
